symbol,universe_tag,generated_at_utc
AACB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AAM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AAME,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AAMI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AAOI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AAON,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AAP,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AAPG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AARD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AAT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AAUC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABAT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABCB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABCL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABEO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABOS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABP,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABSI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABTC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABTS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABUS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABVC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABVE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ABVX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACAD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACCL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACCO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACCS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACDC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACEL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACFN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACHC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACHR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACHV,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACIC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACIU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACIW,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACLS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACLX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACMR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACNB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACNT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACOG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACON,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACRE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACRS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACRV,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACTG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACTU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACVA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ACXP,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADACU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADAG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADAM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADCT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADEA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADGM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADMA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADNT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADPT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADSE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADTN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADTX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADUR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADUS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADVM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ADXN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEAQU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEBI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEHL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEHR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEIS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEMD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AENT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEON,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AERO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AES,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AESI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEVA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEXA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AEYE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AFBI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AFCG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AFJK,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AFRI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AFYA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGCC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGCO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGEN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGIG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGIO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGMH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGPU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGRO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGRZ,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AGYS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AHCO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AHG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AHH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AHL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AHMA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AHR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AHT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIFF,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIFU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIHS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AII,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIIA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIMD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIOT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIP,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIRG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIRI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIRJ,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIRO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIRS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIRT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AISP,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIV,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AIXC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AKA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AKBA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AKO-A,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AKO-B,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AKR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AKRO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALAR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALBT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALCO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALCY,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALDF,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALDX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALE,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALEC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALEX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALF,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALGM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALGS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALGT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALHC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALIS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALIT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALK,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALKS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALKT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALLO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALLR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALLT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALMS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALMU,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALNT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALOT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALRM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALRS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALSN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALT,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALTG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALTI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALTO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALTS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALUB-U,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALUR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALV,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALVO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALXO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
ALZN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMAL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMBA,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMBO,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMBP,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMBQ,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMBR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMCI,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMCX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMKR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMLX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMPG,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMPH,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMPL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMPX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMPY,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMR,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMRC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMRN,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMRX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMS,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMSC,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMSF,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMST,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMTB,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMTD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMTM,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMTX,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMWD,universe_midcaps_v1,2025-12-20T17:03:04+00:00
AMWL,universe_midcaps_v1,2025-12-20T17:03:04+00:00
